genus;reads;cover
Brachythecium;885;3
Pseudoscleropodium;3153;3
Hypnum;16900;3
Triglochin;2266;2
Anthriscus;51170;3
Berula;2745;1
Chaerophyllum;3657;2
Pimpinella;40047;3
Artemisia;229;3
Bellis;3421;3
Cirsium;69145;3
Crepis;138825;3
Hieracium;17502;3
Hypochaeris;1667403;3
Scorzoneroides;121955;3
Solidago;6877;3
Sonchus;4612;1
Taraxacum;41723;3
Campanula;10516;3
Myosotis;767;3
Alliaria;6566;2
Capsella;3155;2
Cardamine;153245;2
Draba;45789;2
Nasturtium;457;1
Sisymbrium;2042;2
Teesdalia;1341;2
Turritis;224;3
Cerastium;390641;3
Dianthus;1498;3
Moehringia;9281;0
Sagina;859;1
Stellaria;204863;3
Persicaria;11000;1
Polygonum;155533;2
Rumex;9555115;3
Sambucus;23760;2
Knautia;41795;3
Lonicera;5254;3
Calluna;5583617;3
Empetrum;324;1
Vaccinium;1333432;2
Hottonia;1204;1
Lysimachia;8571;2
Anthyllis;4072;2
Cytisus;922929;3
Genista;446;2
Lotus;2896317;3
Medicago;69469;3
Ononis;15490;3
Ornithopus;498;1
Trifolium;5834938;3
Vicia;33075;3
Alnus;422308;3
Betula;4303170;3
Corylus;68731;3
Fagus;4975778;3
Quercus;32639697;3
Myrica;76203;1
Galium;249941;3
Erodium;2941;3
Geranium;437109;3
Glechoma;670;2
Prunella;26042;2
Fraxinus;25597;3
Melampyrum;89338;3
Odontites;10149;2
Rhinanthus;10422;2
Linaria;1450;2
Plantago;10678128;3
Veronica;222157;3
Hypericum;72323;3
Populus;75097;3
Salix;1427120;3
Viola;1931;2
Tilia;1081599;3
Lythrum;393792;2
Chamaenerion;353284;2
Circaea;116969;2
Epilobium;2567559;3
Carex;1674810;3
Eleocharis;54213;2
Eriophorum;23071;1
Juncus;76149;3
Luzula;9712;3
Agrostis;3171589;3
Alopecurus;21359;2
Anthoxanthum;34302;3
Arrhenatherum;10545;2
Avenella;147710;3
Avenula;640;1
Bromus;48064;3
Cynosurus;50861;2
Dactylis;66365;3
Deschampsia;55316;2
Festuca;331354;3
Glyceria;610622;2
Helictochloa;668;1
Holcus;137963;3
Lolium;44976;2
Melica;12664;2
Milium;3731;2
Molinia;192;1
Nardus;3460;2
Phalaris;61977;2
Phleum;12374;2
Poa;861634;3
Chelidonium;1072;1
Anemone;21294;2
Callianthemum;3050;1
Ficaria;1502;2
Ranunculus;509025;3
Frangula;69637;3
Agrimonia;146346;2
Comarum;12306;2
Crataegus;21680;3
Filipendula;606785;2
Fragaria;16672;1
Geum;1986886;3
Malus;225568;3
Potentilla;6988499;3
Prunus;5866832;3
Rosa;4691216;3
Rubus;59903369;3
Sorbus;56623;3
Urtica;15187;2
Acer;1937;1
Hylotelephium;1088;1
Convolvulus;8760;2
Juniperus;13169;3
Picea;979;2
Pinus;483;2
Taxus;7527;1
