sample,lane,reads,data,effective,error,q20,q30,gc
MOLS_PSU12,FDDP210138595-1a_H7H7WDRXY_L2,4507696,10.1,99.37,0.03,97.05,91.72,59.45
MOLS_PSU12,FDDP210138595-1a_H3MFVDRXY_L2,35916568,,99.35,0.03,97.87,93.87,59.42
MOLS_PSU24,FDDP210138601-1a_H7CGKDRXY_L2,30037036,10.2,98.54,0.03,96.7,90.9,58.28
MOLS_PSU24,FDDP210138601-1a_H7H7WDRXY_L2,10664856,,99.18,0.03,96.92,91.48,58.54
MOLS_PSU34,FDDP210138605-1a_H7CGKDRXY_L2,27881634,10,98.93,0.03,97.07,91.57,56.74
MOLS_PSU34,FDDP210138605-1a_H7H7WDRXY_L2,12200712,,99.44,0.03,97.07,91.71,57.2
MOLS_PSU32,FDDP210138603-1a_H7H7WDRXY_L2,8683664,10.1,99.22,0.03,96.84,91.3,56.97
MOLS_PSU32,FDDP210138603-1a_H3MFVDRXY_L1,31772418,,99.19,0.02,97.99,94.25,57.06
MOLS_PSU13,FDDP210138596-1a_H3MFVDRXY_L2,49634772,12.4,99.31,0.03,97.84,93.83,59.18
MOLS_PSU54,FDDP210138613-1a_H3MFVDRXY_L1,33398634,10,99.63,0.02,98.13,94.49,58.98
MOLS_PSU54,FDDP210138613-1a_H7H7WDRXY_L2,6574224,,99.62,0.03,96.99,91.64,58.99
MOLS_PSU41,FDDP210138606-1a_H7H7WDRXY_L2,2829092,10.1,99.36,0.03,96.83,91.31,58.86
MOLS_PSU41,FDDP210138606-1a_H7CGKDRXY_L2,37690258,,98.72,0.03,96.33,90.18,58.34
MOLS_PSU53,FDDP210138612-1a_H7H7WDRXY_L2,6952662,10.2,99.31,0.03,96.81,91.3,58.54
MOLS_PSU53,FDDP210138612-1a_H7CGKDRXY_L2,33691804,,98.73,0.03,96.68,90.89,57.96
MOLS_PSU43,FDDP210138608-1a_H7CJTDRXY_L2,7866908,10.1,99.27,0.03,98.05,93.81,58.36
MOLS_PSU43,FDDP210138608-1a_H7CGKDRXY_L1,638490,,94.81,0.03,96.57,90.53,56.42
MOLS_PSU43,FDDP210138608-2a_H7CCHDRXY_L2,32039496,,99.45,0.03,95.7,88.23,58.47
MOLS_PSU52,FDDP210138611-1a_H7H7WDRXY_L1,9633294,10.2,99.52,0.03,96.54,90.52,58.85
MOLS_PSU52,FDDP210138611-1a_H7CGKDRXY_L2,31057308,,99.03,0.03,96.52,90.49,58.39
MOLS_PSU44,FDDP210138609-1a_H7H7WDRXY_L2,8102006,10.3,99.17,0.03,96.77,91.28,58.54
MOLS_PSU44,FDDP210138609-1a_H7CGKDRXY_L2,32967592,,98.46,0.03,96.51,90.65,57.85
MOLS_PSU51,FDDP210138610-1a_H7H7WDRXY_L2,8747498,10.3,99.15,0.03,96.68,91.06,58.62
MOLS_PSU51,FDDP210138610-1a_H7CGKDRXY_L2,32271538,,98.27,0.03,96.34,90.15,58.14
MOLS_PSU42,FDDP210138607-1a_H3MFVDRXY_L1,35070636,10.1,99.2,0.03,97.96,94.18,58.61
MOLS_PSU42,FDDP210138607-1a_H7H7WDRXY_L2,5155996,,99.19,0.03,96.53,90.77,58.56
MOLS_PSU23,FDDP210138600-1a_H7H7WDRXY_L2,17292962,10.3,99.47,0.03,97.1,91.78,58.62
MOLS_PSU23,FDDP210138600-1a_H7CGKDRXY_L2,24000008,,98.91,0.03,97.07,91.54,58.32
MOLS_PSU14,FDDP210138597-1a_H3MFVDRXY_L2,33124000,10.3,99.41,0.02,98.22,94.55,59.36
MOLS_PSU14,FDDP210138597-1a_H7H7WDRXY_L2,8048606,,99.4,0.03,97.29,92.18,59.37
MOLS_PSU31,FDDP210138602-1a_H3MFVDRXY_L1,31805836,10.3,99.5,0.02,98.16,94.51,57.25
MOLS_PSU31,FDDP210138602-1a_H7CJTDRXY_L2,2246962,,99.56,0.02,98.34,94.62,57.3
MOLS_PSU31,FDDP210138602-1a_H7H7WDRXY_L2,7285724,,99.51,0.03,96.94,91.44,57.16
MOLS_PSU21,FDDP210138598-1a_H7CGKDRXY_L2,26777660,10.2,99.12,0.03,96.81,91.09,58.39
MOLS_PSU21,FDDP210138598-1a_H7H7WDRXY_L2,13895572,,99.52,0.03,96.98,91.56,58.62
MOLS_PSU33,FDDP210138604-1a_H3MFVDRXY_L1,33737820,10.5,99.48,0.02,98.21,94.64,57.32
MOLS_PSU33,FDDP210138604-1a_H7CJTDRXY_L2,2347392,,99.55,0.02,98.46,94.91,57.34
MOLS_PSU33,FDDP210138604-1a_H7H7WDRXY_L2,6026292,,99.48,0.03,97.18,91.95,57.15
MOLS_PSU22,FDDP210138599-1a_H7H7WDRXY_L2,4409012,10.3,99.41,0.03,96.87,91.35,58.74
MOLS_PSU22,FDDP210138599-1a_H7CGKDRXY_L2,34610244,,98.9,0.03,96.09,89.78,58.59
MOLS_PSU22,FDDP210138599-1a_H7CJTDRXY_L2,2344828,,99.52,0.02,98.21,94.36,58.79
MOLS_PSU11,FDDP210138594-1a_H3MFVDRXY_L2,32819020,10,99.52,0.03,97.92,93.94,59.44
MOLS_PSU11,FDDP210138594-1a_H7H7WDRXY_L2,7213424,,99.53,0.03,97.05,91.67,59.46
